ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
Rader1966,Rader 1966,1966,Sprachbiologische Untersuchungen an der Mundart von Feldkirchen in Kärnten. Diss. (masch.),,Rader,Wolfram,Wien,,,,,,,Literatur,Fachliteratur,Dissertation
Reichl1918,Reichl 1918,1918,"Hinta Pfluag und Aarn. Gedichte aus dem Raabtal in heanzerischer Mundart. Mit einem Geleitwort von Müller-Guttenbrunn, Adam.",,Reichl,Josef,Wien,,,,,,,Literatur,Literar.Text,Gedichte
Rejzek2012,Rejzek 2012,2012,Český etymologický slovník. 2. nezm. vyd.,,Jiří,Rejzek,Voznice,Leda,,,,,,Literatur,,
Resch1968,Resch Diss. 1968,1968,Der Lautstand der Dreiländerecke Niederösterreich - Oberösterreich - Steiermark mit 56 dialektgeographischen Skizzen. Diss. (masch.),,Resch,Johann,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Resl1929,Resl 1929,1929,Da is amal... Da san amal... Da hat amal... . 99 lustige G'schichten aus meinem Schmierbüch'l. ,4. Band,Resl,Franz,Linz,,,,,,,Literatur,,
RhWb_online,RhWb online,,"Rheinisches Wörterbuch, digitalisierte Fassung im Wörterbuchnetz des Trier Center for Digital Humanities, Version 01/23, <https://www.woerterbuchnetz.de/RhWB>",,,,,,https://www.woerterbuchnetz.de/RhWB,,,,,Literatur,Fachliteratur,Wörterbuch
Rieder_VZ,Rieder Volkszeitung,1923–1938. 1948–1990,Rieder Volkszeitung ,,,,Ried im Innkreis,,22/04/1939,1,,,,Literatur,Journalist.Text,Zeitung
Rosegger1903,Rosegger 1903,1903,Weltgift,,Rosegger,Peter,Leipzig,L. Staackmann,,,,,,Literatur,,
Rudl1920,Rudl 1920,1920,Der Hiesl ban Zonndoktr. In: Der Schlern. Bozner Halbmonatsschrift für Heimatkunde und Heimatkunst 1/11. 168–170,,Rudl,Otto  ,Bozen,Verlagsanstalt Athesia,,1,,,,Literatur,,
Rudolf1933,Rudolf 1933,1933,Die Außerferner Mundart. Diss.,,Rudolf,Erwin,,,,,,,,Literatur,Fachliteratur,Dissertation
Rudolf1965,Rudolf 1965,1965,Die alte Bauernmundart von Molzbichl bei Spittal an der Drau. Dissertation (masch.),,Rudolf,Ilse,Wien,,,,,,,Literatur,Fachliteratur,Dissertation
Sabatini_online,Sabatini/Coletti online,,Il Sabatini Coletti. Dizionario della Lingua Italiana,,Sabatini/Coletti,Francesco/Vittorio,,,,1,,,,Literatur,,
SalzburgerWb1979,Salzburger Wb. 1979,1979,"Was nicht im Duden steht. Ein Salzburger Mundart-Wörterbuch (= Mitteilungen der Gesellschaft für Salzburger Landeskunde, Ergänzungsband 7)",,Ziller/Gesellschaft für Salzburger Landeskunde (Hrsg.),Leopold,Salzburg,Selbstverlag der Gesellschaft für Salzburger Landeskunde,,1,,,,Literatur,Fachliteratur,Wörterbuch
SalzburgerWb1995,Salzburger Wb. 1995,1995,"Was nicht im Duden steht. Ein Salzburger Mundart-Wörterbuch. 2., verm. Aufl.",,Ziller/Gesellschaft für Salzburger Landeskunde (Hrsg.),Leopold,St. Gilgen am Wolfgangsee,Eigenverlag der Gemeinde,,1,,,,Literatur,Fachliteratur,Wörterbuch
Sansoni1970I,Sansoni 1970 I,1970,Wörterbuch der italienischen und deutschen Sprache. Bearb. unter der Leitung v. Vladimiro Macchi am Centro Lessicografico Sansoni,Band 1: Italienisch–Deutsch,Centro Lessicografico Sansoni (Hrsg.),,Florenz / Rom,Sansoni,,1,,,,Literatur,Fachliteratur,Wörterbuch
Santifaller1958,Santifaller 1958,1958,Beiträge zur Kenntnis der Kastelruter Mundart. In: ZsSchlern 32 (1958) 230–247,,Santifaller,Leo/Berta,,,,,,,,Literatur,,
SarntalerWb1958I,Sarntaler Wb. 1958 I,1958,Wörterbuch der Sarntaler Mundart. In: ZsSchlern 32,Band 1: A–F,Gruber,Anton,,,,,,,,Literatur,Fachliteratur,Wörterbuch
Schabus1971I,Schabus 1971 I,1971,Dialektgeographie des Lesachtals (Kärnten). Diss. (masch.),Band 1 ,Schabus,Wilfried,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Schabus1971II,Schabus 1971 II,1971,Dialektgeographie des Lesachtals (Kärnten). Diss. (masch.),Band 2,Schabus,Wilfried,Wien,,,1,,,,Literatur,Fachliteratur,Dissertation
Schacherl1919,Schacherl 1919,1919,Seltene Ausdrücke der Böhmerwald-Mundart,,Schacherl,Anton,Budweis,,,,,,,Literatur,,
